ダウンロードした時刻：2019/08/12 21:03:28

,,,酒田,酒田,酒田
年,月,日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,,,
,,,,,
1996,7,15,22.5,24.8,20.5
1996,7,16,26.8,32.3,22.5
1996,7,17,23.9,26.6,22.7
1996,7,18,22.6,24.1,21.3
1996,7,19,24.8,28.8,21.0
1996,7,20,26.5,32.3,21.4
1996,7,21,24.9,28.3,22.3
1996,7,22,25.5,29.8,21.8
1996,7,23,22.1,26.5,20.0
1996,7,24,24.2,27.8,21.1
1996,7,25,26.4,31.3,20.8
1996,7,26,27.2,32.4,22.7
1996,7,27,26.7,29.9,23.3
1996,7,28,27.2,30.7,22.9
1996,7,29,27.4,30.2,24.6
1996,7,30,27.3,30.7,24.2
1996,7,31,27.9,32.8,23.4
1996,8,1,25.9,29.5,23.6
1996,8,2,24.5,27.7,22.4
1996,8,3,24.7,29.0,21.0
1996,8,4,25.3,30.9,21.0
1996,8,5,23.0,25.5,18.5
1996,8,6,22.9,29.2,16.9
1996,8,7,24.3,30.0,18.8
1996,8,8,24.3,28.8,20.1
1996,8,9,26.4,32.0,21.3
1996,8,10,26.9,32.5,22.0
1996,8,11,27.1,32.1,22.7
1996,8,12,27.5,33.4,22.1
1996,8,13,28.0,32.9,23.6
1996,8,14,29.5,34.2,24.3
1996,8,15,25.7,28.0,23.8
1996,8,16,25.1,27.6,23.4
1996,8,17,24.6,27.7,20.7
1996,8,18,24.0,28.2,18.7
1996,8,19,24.0,28.1,20.6
1996,8,20,24.9,30.4,19.7
1996,8,21,24.6,29.6,19.8
1996,8,22,25.2,29.1,20.4
1996,8,23,24.5,27.7,21.4
1996,8,24,22.0,25.1,17.1
1996,8,25,20.6,25.2,15.3
1996,8,26,21.6,26.5,16.6
1996,8,27,19.8,22.3,17.8
1996,8,28,20.5,22.4,18.0
1996,8,29,22.9,27.9,18.4
1996,8,30,23.7,28.5,19.2
1996,8,31,23.6,27.8,20.7
1996,9,1,24.6,31.3,20.9
