ダウンロードした時刻：2025/08/04 21:50:04

,,酒田,酒田,酒田,酒田,酒田,酒田,山形,山形,山形,山形,山形,山形,にかほ,にかほ,にかほ,にかほ,にかほ,にかほ,札幌,札幌,札幌,札幌,札幌,札幌,飛島,飛島,飛島,飛島,飛島,飛島
年,月,最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),最低気温(℃),最低気温(℃),最低気温(℃),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日),日最高気温0℃未満日数(日)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
1994,2,-3.3,8,1,1,8,1,-5.2,8,1,4,8,1,-2.6,8,1,1,8,1,-9.3,8,1,11,8,1,-3.5,8,1,2,8,1
1994,3,-3.3,8,1,0,8,1,-4.9,8,1,0,8,1,-3.0,8,1,0,8,1,-9.0,8,1,3,8,1,-1.7,8,1,0,8,1
1994,11,-0.1,8,1,0,8,1,-2.6,8,1,0,8,1,-0.1,8,1,0,8,1,-4.1,8,1,1,8,1,2.9,8,1,0,8,1
1994,12,-3.8,8,1,0,8,1,-6.7,8,1,2,8,1,-2.5,8,1,0,8,1,-10.2,8,1,10,8,1,-3.7,8,1,1,8,1
1995,1,-5.6,8,1,2,8,1,-10.2,8,1,9,8,1,-3.8,8,1,0,8,1,-14.1,8,1,16,8,1,-3.7,8,1,2,8,1
1995,2,-6.5,8,1,0,8,1,-10.1,8,1,1,8,1,-2.6,8,1,0,8,1,-12.5,8,1,7,8,1,-1.7,8,1,0,8,1
1995,3,-1.8,8,1,0,8,1,-3.6,8,1,0,8,1,-2.0,8,1,0,8,1,-10.4,8,1,2,8,1,-1.6,8,1,0,8,1
1995,11,0.4,8,1,0,8,1,-1.7,8,1,0,8,1,0.6,5,1,0,8,1,-2.0,8,1,0,8,1,1.3,8,1,0,8,1
1995,12,-3.2,8,1,0,8,1,-7.0,8,1,2,8,1,-3.2,8,1,0,8,1,-7.9,8,1,5,8,1,-3.8,8,1,0,8,1
1996,1,-5.4,8,1,1,8,1,-7.3,8,1,5,8,1,-4.2,8,1,2,8,1,-12.5,8,1,17,8,1,-5.7,8,1,5,8,1
1996,2,-6.6,8,1,2,8,1,-10.0,8,1,4,8,1,-5.2,8,1,2,8,1,-14.4,8,1,16,8,1,-7.1,8,1,6,8,1
1996,3,-2.5,8,1,0,8,1,-4.7,8,1,0,8,1,-2.8,8,1,0,8,1,-10.0,8,1,4,8,1,-2.0,8,1,0,8,1
1996,11,-0.2,8,1,0,8,1,-1.9,8,1,0,8,1,0.1,8,1,0,8,1,-5.2,8,1,2,8,1,0.2,8,1,0,8,1
1996,12,-2.3,8,1,0,8,1,-3.8,8,1,0,8,1,-2.5,8,1,0,8,1,-10.1,8,1,5,8,1,-2.2,8,1,0,8,1
1997,1,-6.4,8,1,0,8,1,-7.8,8,1,2,8,1,-6.7,8,1,0,8,1,-10.8,8,1,14,8,1,-4.9,8,1,0,8,1
1997,2,-3.4,8,1,0,8,1,-5.6,8,1,2,8,1,-2.1,8,1,0,8,1,-7.5,8,1,7,8,1,-2.7,8,1,0,8,1
1997,3,-2.1,8,1,0,8,1,-5.7,8,1,0,8,1,-1.8,4,1,0,4,1,-9.3,8,1,3,8,1,-3.2,8,1,0,8,1
1997,11,2.3,8,1,0,8,1,-0.7,8,1,0,8,1,2.5,8,1,0,8,1,0.1,8,1,0,8,1,5.4,8,1,0,8,1
1997,12,-2.2,8,1,0,8,1,-5.0,8,1,1,8,1,-2.4,8,1,0,8,1,-7.1,8,1,6,8,1,-2.2,8,1,0,8,1
1998,1,-3.7,8,1,4,8,1,-8.3,8,1,8,8,1,-4.6,8,1,2,8,1,-14.5,8,1,25,8,1,-4.2,8,1,6,8,1
1998,2,-4.3,8,1,0,8,1,-7.3,8,1,1,8,1,-3.3,8,1,0,8,1,-15.8,8,1,16,8,1,-3.0,8,1,0,8,1
1998,3,-1.9,8,1,0,8,1,-4.1,8,1,0,8,1,-1.6,8,1,0,8,1,-7.7,8,1,1,8,1,-1.8,8,1,0,8,1
1998,11,-5.1,8,1,0,8,1,-2.2,8,1,0,8,1,-4.5,8,1,0,8,1,-6.2,8,1,4,8,1,-0.2,8,1,0,8,1
1998,12,-1.5,8,1,0,8,1,-3.5,8,1,0,8,1,-1.7,8,1,0,8,1,-8.9,8,1,13,8,1,-1.6,8,1,0,8,1
1999,1,-4.4,8,1,2,8,1,-7.7,8,1,4,8,1,-3.6,8,1,2,8,1,-13.5,8,1,19,8,1,-4.3,8,1,4,8,1
1999,2,-8.9,8,1,2,8,1,-9.4,8,1,2,8,1,-8.7,8,1,0,8,1,-12.5,8,1,16,8,1,-5.2,8,1,2,8,1
1999,3,-3.5,8,1,0,8,1,-5.3,8,1,0,8,1,-2.6,8,1,0,8,1,-8.7,8,1,10,8,1,-2.2,8,1,0,8,1
1999,11,1.1,8,1,0,8,1,0.2,8,1,0,8,1,0.2,8,1,0,8,1,-5.7,8,1,3,8,1,1.0,8,1,0,8,1
1999,12,-1.7,8,1,0,8,1,-6.2,8,1,1,8,1,-1.4,8,1,0,8,1,-8.1,8,1,5,8,1,0.0,8,1,0,8,1
2000,1,-5.6,8,1,2,8,1,-6.8,8,1,4,8,1,-5.4,8,1,2,8,1,-14.7,8,1,13,8,1,-4.2,8,1,2,8,1
2000,2,-4.1,8,1,1,8,1,-6.8,8,1,3,8,1,-5.9,8,1,1,8,1,-11.8,8,1,18,8,1,-3.4,8,1,2,8,1
2000,3,-4.0,8,1,0,8,1,-6.7,8,1,0,8,1,-2.7,8,1,0,8,1,-9.7,8,1,4,8,1,-3.6,8,1,1,8,1
2000,11,-0.8,8,1,0,8,1,-2.5,8,1,0,8,1,0.6,8,1,0,8,1,-4.5,8,1,1,8,1,2.0,8,1,0,8,1
2000,12,-3.8,8,1,1,8,1,-7.1,8,1,2,8,1,-2.5,4,1,0,8,1,-10.5,8,1,13,8,1,-3.5,8,1,1,8,1
2001,1,-7.7,8,1,5,8,1,-8.9,8,1,11,8,1,-5.7,5,1,6,8,1,-15.0,8,1,23,8,1,-4.6,8,1,7,8,1
2001,2,-4.5,8,1,3,8,1,-8.0,8,1,6,8,1,-4.6,8,1,5,8,1,-12.6,8,1,21,8,1,-4.9,8,1,8,8,1
2001,3,-4.4,8,1,0,8,1,-6.1,8,1,0,8,1,-5.1,8,1,0,8,1,-11.9,8,1,5,8,1,-2.4,8,1,1,8,1
2001,11,1.9,8,1,0,8,1,-1.0,8,1,0,8,1,0.3,8,1,0,8,1,-5.1,8,1,1,8,1,2.5,8,1,0,8,1
2001,12,-1.8,8,1,0,8,1,-4.8,8,1,0,8,1,-1.2,8,1,0,8,1,-10.8,8,1,21,8,1,-0.6,8,1,0,8,1
2002,1,-4.1,8,1,0,8,1,-6.9,8,1,1,8,1,-4.1,8,1,0,8,1,-11.7,8,1,16,8,1,-3.2,8,1,0,8,1
2002,2,-4.6,8,1,0,8,1,-6.7,8,1,2,8,1,-3.8,8,1,1,8,1,-10.0,8,1,6,8,1,-3.3,8,1,1,8,1
2002,3,-1.4,8,1,0,8,1,-3.8,8,1,0,8,1,-2.1,8,1,0,8,1,-8.7,8,1,1,8,1,-2.1,8,1,0,8,1
2002,11,-0.6,8,1,0,8,1,-4.1,8,1,0,8,1,-0.5,5,1,0,5,1,-5.4,8,1,0,8,1,0.7,8,1,0,8,1
2002,12,-5.0,8,1,0,8,1,-5.5,8,1,2,8,1,-3.6,8,1,1,8,1,-10.1,8,1,21,8,1,-4.3,8,1,1,8,1
2003,1,-5.4,8,1,0,8,1,-9.8,8,1,5,8,1,-3.6,8,2,0,8,2,-14.8,8,1,18,8,1,-4.2,8,2,1,8,2
2003,2,-5.0,8,1,0,8,1,-6.6,8,1,0,8,1,-4.2,8,2,0,8,2,-13.0,8,1,18,8,1,-3.5,8,2,0,8,2
2003,3,-2.6,8,1,0,8,1,-6.0,8,1,0,8,1,-2.9,8,2,0,8,2,-10.3,8,1,4,8,1,-3.0,8,2,0,8,2
2003,11,0.7,8,1,0,8,1,-2.0,8,1,0,8,1,1.3,8,2,0,8,2,-4.4,8,1,0,8,1,2.5,8,2,0,8,2
2003,12,-1.4,8,1,0,8,1,-4.6,8,1,0,8,1,0.0,5,2,0,8,2,-6.9,8,1,5,8,1,-1.9,8,2,0,8,2
2004,1,-3.8,8,1,0,5,1,-8.2,8,1,3,8,1,-3.3,8,2,0,8,2,-11.0,8,1,11,8,1,-3.0,8,2,0,8,2
2004,2,-4.8,8,1,0,8,1,-8.9,8,1,1,8,1,-3.3,8,2,0,8,2,-9.2,8,1,8,8,1,-1.8,8,2,0,8,2
2004,3,-4.9,8,1,0,8,1,-5.6,8,1,0,8,1,-3.6,8,2,0,8,2,-10.2,8,1,6,8,1,-3.4,5,2,0,5,2
2004,11,3.9,8,1,0,8,1,-1.1,8,1,0,8,1,3.7,8,2,0,8,2,-5.2,8,1,0,8,1,2.2,8,2,0,8,2
2004,12,-1.1,8,1,0,8,1,-4.4,8,1,2,8,1,-2.1,8,2,0,8,2,-9.2,8,1,6,8,1,-1.4,8,2,0,8,2
2005,1,-3.5,8,1,0,8,1,-9.1,8,1,3,8,1,-2.4,8,2,0,8,2,-11.7,8,1,16,8,1,-3.6,8,2,0,8,2
2005,2,-3.6,8,1,1,8,1,-6.1,8,1,3,8,1,-3.7,8,2,0,8,2,-11.1,8,1,20,8,1,-4.0,8,2,1,8,2
2005,3,-4.1,8,1,0,8,1,-8.0,8,1,1,8,1,-2.6,8,2,0,8,2,-11.0,8,1,10,8,1,-3.2,8,2,1,8,2
